1   1 2 4 
rush   1 2 3 4 5 
diningh   1 2 
sprang   1 2 3 4 5 
flagon   1 2 3 
trencher   1 2 3 
fli   1 2 3 4 5 
cri   1 2 3 4 5 
compani   1 2 3 4 5 
render   1 2 3 4 
bodi   1 2 3 4 5 
soul   1 2 3 4 5 
wench   1 2 3 
revel   1 2 3 5 
aghast   1 2 3 
furi   1 2 3 4 5 
drunken   1 2 3 4 5 
rest   1 2 3 4 5 
whereat   1 2 3 
groom   1 2 3 5 
saddl   1 2 3 4 5 
mare   1 2 3 
unkennel   1 2 3 
pack   1 2 3 4 5 
kerchief   1 2 3 
maid   1 2 3 4 5 
swung   1 2 3 4 5 
moonlight   1 2 3 5 
agap   1 2 3 
unabl   1 2 3 4 5 
hast   1 2 3 
anon   1 2 3 
bemu   1 2 
awok   1 2 3 4 
deed   1 2 3 4 5 
moorland   1 2 3 
everyth   1 2 3 4 5 
uproar   1 2 3 5 
pistol   1 2 3 4 5 
hor   1 2 
flask   1 2 3 
length   1 2 3 4 5 
sen   1 2 
craze   1 2 3 4 
thirteen   1 2 3 4 
number   1 2 3 4 5 
pursuit   1 2 3 4 5 
moon   1 2 3 4 5 
shone   1 2 3 4 5 
clear   1 2 3 4 5 
rode   1 2 3 4 
swiftli   1 2 3 4 5 
abreast   1 2 3 
cour   1 2 
need   1 2 3 4 5 
taken   1 2 3 4 5 
reach   1 2 3 4 5 
gone   1 2 3 4 5 
mile   1 2 3 4 5 
shepherd   1 2 3 
seen   1 2 3 4 5 
goe   1 2 3 4 5 
scarc   1 2 3 4 
speak   1 2 3 4 5 
unhappi   1 2 3 5 
track   1 2 3 4 5 
black   1 2 3 4 5 
mute   1 2 3 
hell   1 2 3 4 5 
god   1 2 3 4 5 
forbid   1 2 3 4 5 
heel   1 2 3 4 5 
squir   1 2 3 
onward   1 2 3 4 5 
soon   1 2 3 4 5 
skin   1 2 3 4 5 
cold   1 2 3 4 5 
gallop   1 2 3 4 5 
dabbl   1 2 3 4 
white   1 2 3 4 5 
froth   1 2 3 
went   1 2 3 4 5 
trail   1 2 3 4 5 
bridl   1 2 3 4 
ride   1 2 3 4 
